DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2024-05-27 09:55:58,2,217,0,20.415,46.282,108.5,51,5533.5,0,0,5.309,14.263
2024-05-27 09:56:00,2,207,0,16.797,10.162,103.5,51,5278.5,0,0,4.874,13.145
